instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsBox.started,instructionsBox.stopped,leftCategoryLabel_2.started,leftCategoryLabel_2.stopped,rightCategoryLabel_2.started,rightCategoryLabel_2.stopped,leftAttributeLabel_2.started,leftAttributeLabel_2.stopped,rightAttributeLabel_2.started,rightAttributeLabel_2.stopped,orLeft_2.started,orLeft_2.stopped,orRight_2.started,orRight_2.stopped,stimulusImageBox.started,stimulusImageBox.stopped,stimulusTextBox.started,stimulusTextBox.stopped,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,requiredResponse.started,requiredResponse.stopped,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,feedbackResponse.started,feedbackResponse.stopped,feedback.started,feedback.stopped,leftCategoryLabel.started,leftCategoryLabel.stopped,rightCategoryLabel.started,rightCategoryLabel.stopped,leftAttributeLabel.started,leftAttributeLabel.stopped,rightAttributeLabel.started,rightAttributeLabel.stopped,orLeft.started,orLeft.stopped,orRight.started,orRight.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,0,0,0,13.36231975001283,None,13.36231975001283,None,13.36231975001283,None,13.36231975001283,None,13.36231975001283,None,13.36231975001283,None,13.36231975001283,None,16.906278916983865,None,16.906278916983865,None,i,1,0.9370440000202507,16.906278916983865,None,e,1,0.5370393750490621,16.906278916983865,None,16.906278916983865,None,16.622828457970172,None,16.622828457970172,None,16.622828457970172,None,16.622828457970172,None,16.622828457970172,None,16.622828457970172,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,18.15686391701456,None,18.15686391701456,None,e,1,0.5031566669931635,18.15686391701456,None,None,0,,18.15686391701456,None,18.15686391701456,None,17.872908832971007,None,17.872908832971007,None,17.872908832971007,None,17.872908832971007,None,17.872908832971007,None,17.872908832971007,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,,,,,,,,,,,,,,,18.973726458032615,None,18.973726458032615,None,i,1,0.5469396250555292,18.973726458032615,None,None,0,,18.973726458032615,None,18.973726458032615,None,18.68959487497341,None,18.68959487497341,None,18.68959487497341,None,18.68959487497341,None,18.68959487497341,None,18.68959487497341,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,,,,,,,,,,,,,19.822903124964796,None,19.822903124964796,None,e,1,0.5589710830245167,19.822903124964796,None,None,0,,19.822903124964796,None,19.822903124964796,None,19.539704332943074,None,19.539704332943074,None,19.539704332943074,None,19.539704332943074,None,19.539704332943074,None,19.539704332943074,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,0,4,0,,,,,,,,,,,,,,,20.68928666692227,None,20.68928666692227,None,i,1,0.6493163749109954,20.68928666692227,None,e,1,0.3945808330317959,20.68928666692227,None,20.68928666692227,None,20.405609749956056,None,20.405609749956056,None,20.405609749956056,None,20.405609749956056,None,20.405609749956056,None,20.405609749956056,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,,,,,,,21.63968483300414,None,21.63968483300414,None,e,1,0.5097627500072122,21.63968483300414,None,None,0,,21.63968483300414,None,21.63968483300414,None,21.35606091702357,None,21.35606091702357,None,21.35606091702357,None,21.35606091702357,None,21.35606091702357,None,21.35606091702357,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,0,6,1,,,,,,,,,,,,,,,22.45604312501382,None,22.45604312501382,None,e,1,0.5564040410099551,22.45604312501382,None,None,0,,22.45604312501382,None,22.45604312501382,None,22.172988957958296,None,22.172988957958296,None,22.172988957958296,None,22.172988957958296,None,22.172988957958296,None,22.172988957958296,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,1,7,0,,,,,,,,,,,,,,,23.323002332937904,None,23.323002332937904,None,i,1,1.047483249916695,23.323002332937904,None,e,1,0.7720310000004247,23.323002332937904,None,23.323002332937904,None,23.039255374926142,None,23.039255374926142,None,23.039255374926142,None,23.039255374926142,None,23.039255374926142,None,23.039255374926142,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,0,8,1,,,,,,,,,,,,,,,24.67305383295752,None,24.67305383295752,None,e,1,0.5074593329336494,24.67305383295752,None,None,0,,24.67305383295752,None,24.67305383295752,None,24.3893192919204,None,24.3893192919204,None,24.3893192919204,None,24.3893192919204,None,24.3893192919204,None,24.3893192919204,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,1,9,0,,,,,,,,,,,,,,,25.489796667010523,None,25.489796667010523,None,i,1,0.39898299996275455,25.489796667010523,None,None,0,,25.489796667010523,None,25.489796667010523,None,25.205906291957945,None,25.205906291957945,None,25.205906291957945,None,25.205906291957945,None,25.205906291957945,None,25.205906291957945,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,0,10,0,,,,,,,,,,,,,,,26.18954379193019,None,26.18954379193019,None,i,1,0.6852703338954598,26.18954379193019,None,None,0,,26.18954379193019,None,26.18954379193019,None,25.906230457942,None,25.906230457942,None,25.906230457942,None,25.906230457942,None,25.906230457942,None,25.906230457942,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,1,11,0,,,,,,,,,,,,,,,27.1898037919309,None,27.1898037919309,None,i,1,0.32503904204349965,27.1898037919309,None,None,0,,27.1898037919309,None,27.1898037919309,None,26.906214750022627,None,26.906214750022627,None,26.906214750022627,None,26.906214750022627,None,26.906214750022627,None,26.906214750022627,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,6,0,12,1,,,,,,,,,,,,,,,27.82306812494062,None,27.82306812494062,None,e,1,0.4936325839953497,27.82306812494062,None,None,0,,27.82306812494062,None,27.82306812494062,None,27.53926358302124,None,27.53926358302124,None,27.53926358302124,None,27.53926358302124,None,27.53926358302124,None,27.53926358302124,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,6,1,13,0,,,,,,,,,,,,,,,28.623006374924444,None,28.623006374924444,None,i,1,0.5067748749861494,28.623006374924444,None,None,0,,28.623006374924444,None,28.623006374924444,None,28.339611832983792,None,28.339611832983792,None,28.339611832983792,None,28.339611832983792,None,28.339611832983792,None,28.339611832983792,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,7,0,14,1,,,,,,,,,,,,,,,29.439890207955614,None,29.439890207955614,None,e,1,0.48682362504769117,29.439890207955614,None,None,0,,29.439890207955614,None,29.439890207955614,None,29.155525124981068,None,29.155525124981068,None,29.155525124981068,None,29.155525124981068,None,29.155525124981068,None,29.155525124981068,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,7,1,15,1,,,,,,,,,,,,,,,30.240071833017282,None,30.240071833017282,None,e,1,0.5302670419914648,30.240071833017282,None,None,0,,30.240071833017282,None,30.240071833017282,None,29.95608629193157,None,29.95608629193157,None,29.95608629193157,None,29.95608629193157,None,29.95608629193157,None,29.95608629193157,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,8,0,16,0,,,,,,,,,,,,,,,31.073250957997516,None,31.073250957997516,None,i,1,0.585657958057709,31.073250957997516,None,None,0,,31.073250957997516,None,31.073250957997516,None,30.78956395795103,None,30.78956395795103,None,30.78956395795103,None,30.78956395795103,None,30.78956395795103,None,30.78956395795103,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,8,1,17,1,,,,,,,,,,,,,,,31.973044457961805,None,31.973044457961805,None,e,1,0.5606772089377046,31.973044457961805,None,None,0,,31.973044457961805,None,31.973044457961805,None,31.68938870797865,None,31.68938870797865,None,31.68938870797865,None,31.68938870797865,None,31.68938870797865,None,31.68938870797865,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,9,0,18,0,,,,,,,,,,,,,,,32.84022541693412,None,32.84022541693412,None,i,1,0.5225744580384344,32.84022541693412,None,None,0,,32.84022541693412,None,32.84022541693412,None,32.55622079200111,None,32.55622079200111,None,32.55622079200111,None,32.55622079200111,None,32.55622079200111,None,32.55622079200111,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,9,1,19,1,,,,,,,,,,,,,,,33.67316470795777,None,33.67316470795777,None,e,1,0.8344351670239121,33.67316470795777,None,None,0,,33.67316470795777,None,33.67316470795777,None,33.38992699992377,None,33.38992699992377,None,33.38992699992377,None,33.38992699992377,None,33.38992699992377,None,33.38992699992377,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,4,text_trial_type_4,img_trial_type_4,0,1,1,1,0,0,0,1,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,37.87323554197792,None,37.87323554197792,None,e,1,0.955550582963042,37.87323554197792,None,i,1,0.7177819160278887,37.87323554197792,None,37.87323554197792,None,37.57900616701227,None,37.57900616701227,None,37.57900616701227,None,37.57900616701227,None,37.57900616701227,None,37.57900616701227,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,4,text_trial_type_4,img_trial_type_4,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,39.155986582976766,None,39.155986582976766,None,e,1,1.0486120419809595,39.155986582976766,None,None,0,,39.155986582976766,None,39.155986582976766,None,38.86944516701624,None,38.86944516701624,None,38.86944516701624,None,38.86944516701624,None,38.86944516701624,None,38.86944516701624,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
